id_transacao,data_transacao,valor,operacao,banco_origem,cpf_origem,codigo_agencia_origem,id_conta_origem,conta_completa,id_conta,id_conta,descricao,created_at
01090127241127041313222486,2024-01-01 09:27:11,28335.46,transferencia,1,87638084802,4072,40213-8,4072-40213-8,77134583,97,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01180155243964042950159622,2024-01-01 18:55:39,1575.06,transferencia,1,85384828900,4046,74848-7,4046-74848-7,64016050,699,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01140151245675748101673735,2024-01-01 14:51:56,32342.72,transferencia,1,96103437083,4757,12596-2,4757-12596-2,69620458,481,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060111240237343385968411,2024-01-01 06:11:02,2290.98,transferencia,1,82580056262,4373,96565-0,4373-96565-0,53867043,541,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160109240511454409015047,2024-01-01 16:09:05,37040.8,transferencia,1,14372406312,5411,16717-9,5411-16717-9,91264086,285,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060155245912522846421910,2024-01-01 06:55:59,61683.03,transferencia,1,91747520144,2521,72531-4,2521-72531-4,91188491,833,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01030243240540679082186255,2024-01-02 03:43:05,54619.23,transferencia,1,25384026200,7604,15627-3,7604-15627-3,34194407,108,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230259240078165303236492,2024-01-02 23:59:00,75891.56,transferencia,1,75157462549,6187,98299-2,6187-98299-2,83813063,772,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01130205244204773713864908,2024-01-02 13:05:42,96145.66,transferencia,1,97625150054,7740,82649-4,7740-82649-4,92880952,303,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01010253243597893943251358,2024-01-02 01:53:35,64383.31,transferencia,1,61962128695,9879,30883-5,9879-30883-5,77134583,97,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01200243240169950087373156,2024-01-02 20:43:01,30292.66,transferencia,1,12405258188,5996,65190-1,5996-65190-1,50833796,1065,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
